text,nb_true_label,nb_probability,nb_prediction_default_0_5,nb_prediction_threshold_0_4,nb_risk_tier,DB_actual_label,DB_predicted_label,DB_fraud_probability,DB_ham_probability,ensemble_text_probaility
Jus finish bathing...,0,0.011486839994912,0,0,LOW,0,0,0.0018106841,0.9981893,0.0025378338442368
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,0.9970676014652122,1,1,HIGH,1,1,0.99814105,0.0018588965,0.5987236127197818
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,1,0.9551737733900748,1,1,HIGH,1,0,0.36280876,0.63719124,0.3065400080085112
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1,0.9999991050374204,1,1,HIGH,1,1,0.998142,0.0018579767,0.599163765755613
Aiyah e rain like quite big leh. If drizzling i can at least run home.,0,9.43183767069782e-06,0,0,LOW,0,0,0.0016271408,0.9983728,0.0007336281356506047
Of course. I guess god's just got me on hold right now.,0,0.0002730849278557,0,0,LOW,0,0,0.001744717,0.9982553,0.000826085389178355
Bring it if you got it,0,0.0109458349024941,0,0,LOW,0,0,0.0019067643,0.9980932,0.002499919170374115
Not getting anywhere with this damn job hunting over here!,0,0.0227127818983188,0,0,LOW,0,0,0.003911363,0.9960886,0.00516703063474782
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,0.9998388039341822,1,1,HIGH,1,1,0.99712795,0.0028720554,0.5986833980901274
"sorry, no, have got few things to do. may be in pub later.",0,7.966562494215981e-06,0,0,LOW,0,0,0.0016678307,0.9983322,0.0007517187993741324
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,1.0,1,1,HIGH,1,1,0.9981793,0.0018207117,0.599180685
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,0,0.0006245222781315,0,0,LOW,0,0,0.0028936036,0.9971064,0.001395799961719725
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,1,0.7589805365836246,1,1,HIGH,1,1,0.9982368,0.0017631734,0.5630536404875437
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,0,0.0001730227640799,0,0,LOW,0,0,0.0019595735,0.9980405,0.0009077614896119852
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,0.9999981758223708,1,1,HIGH,1,1,0.997633,0.0023670099,0.5989345763733556
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1,0.9999999877857848,1,1,HIGH,1,1,0.9981667,0.0018332772,0.5991750131678677
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",1,0.7055125154683562,1,1,MEDIUM,1,1,0.998126,0.0018740516,0.5549835773202534
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),0,0.0039988000110512,0,0,LOW,0,0,0.001581918,0.9984181,0.00131168310165768
Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,0,0.472107438016529,0,0,MEDIUM,0,0,0.00864975,0.9913503,0.07470850320247935
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0,0.5565399662904386,1,1,MEDIUM,0,1,0.9923538,0.0076461523,0.5300402049435657
I accidentally brought em home in the box,0,0.2114567439027996,0,0,LOW,0,0,0.0019151544,0.9980849,0.03258033106541994
This message is brought to you by GMW Ltd. and is not connected to the,1,0.5037858396098066,1,1,MEDIUM,1,0,0.44031534,0.5596847,0.27370977894147097
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,0,0.2353603157884782,0,0,LOW,0,0,0.008655128,0.9913449,0.03919885496827173
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,0.9997100464642088,1,1,HIGH,1,1,0.9927981,0.007201829,0.5967156519696313
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0,1.3993115971525246e-08,0,0,LOW,0,0,0.0017272383,0.9982728,0.0007772593339673957
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,1.0,1,1,HIGH,1,1,0.99821115,0.0017888526,0.5991950175
Sir send to group mail check it.,0,0.0511719446199227,0,0,LOW,0,0,0.003184982,0.996815,0.009109033592988404
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,0.999999999984027,1,1,HIGH,1,1,0.9981658,0.001834204,0.5991746099976041
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),1,0.9998211279920372,1,1,HIGH,1,1,0.99828076,0.0017192797,0.5991995111988055
Don know..he is watching film in computer..,0,0.0015521326813707,0,0,LOW,0,0,0.0017437473,0.99825627,0.001017506187205605
K:)k:)what are detail you want to transfer?acc no enough?,0,0.3018832112989759,0,0,LOW,0,0,0.0021189826,0.997881,0.04623602386484638
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,1,0.99999409625102,1,1,HIGH,1,1,0.99822193,0.0017780258,0.5991989829376531
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1,0.9998533198812511,1,1,HIGH,1,1,0.9980046,0.0019953924,0.5990800679821877
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,0.9988775945570176,1,1,HIGH,1,1,0.99812347,0.0018765795,0.5989872006835526
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",0,5.977762115610777e-10,0,0,LOW,0,0,0.0020372448,0.9979627,0.0009167602496664317
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,0.9999999997505284,1,1,HIGH,1,1,0.99830014,0.0016998904,0.5992350629625792
todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,1,0.9999999966179588,1,1,HIGH,1,1,0.99821764,0.0017823763,0.5991979374926939
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,1,1.0,1,1,HIGH,1,1,0.9982687,0.0017312362,0.599220915
Wherre's my boytoy ? :-(,0,0.1163014726951816,0,0,LOW,0,0,0.0018075067,0.9981925,0.01825859891927724
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,0.6422150058750602,1,1,MEDIUM,1,1,0.99831665,0.0016834122,0.5455747433812591
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0,0.0038843076314899,0,0,LOW,0,0,0.0016949454,0.9983051,0.001345371574723485
Que pases un buen tiempo or something like that,0,0.1412693815876321,0,0,LOW,0,0,0.00375601,0.9962441,0.022880611738144815
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,1,0.9999999999999716,1,1,HIGH,1,1,0.99820673,0.0017933105,0.5991930284999958
You have 1 new message. Call 0207-083-6089,1,0.7128443185634323,1,1,MEDIUM,1,1,0.9982504,0.0017496055,0.5561393277845148
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,1,0.9998015566707364,1,1,HIGH,1,1,0.9980324,0.0019675845,0.5990848135006105
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0,1.392073372283766e-07,0,0,LOW,0,0,0.0023667319,0.9976332,0.0010650502361005843
Yupz... I've oredi booked slots 4 my weekends liao... ,0,0.0579911074470187,0,0,LOW,0,0,0.0015444182,0.9984555,0.009393654307052805
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1,0.9996817210639146,1,1,HIGH,1,1,0.99787116,0.002128826,0.5989942801595871
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,0.9999999996392716,1,1,HIGH,1,1,0.99830437,0.0016956272,0.5992369664458908
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,1,0.9999999999999716,1,1,HIGH,1,1,0.99827576,0.0017242685,0.5992240919999957
Filthy stories and GIRLS waiting for your,1,0.6259341624898689,1,1,MEDIUM,1,0,0.0022808316,0.9977191,0.09491649859348034
No. I dont want to hear anything,0,0.0006809221576153,0,0,LOW,0,0,0.001600677,0.9983993,0.0008224429736422951
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,1.0,1,1,HIGH,1,1,0.99829525,0.0017047833,0.5992328625
"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",1,0.9999999999999148,1,1,HIGH,1,1,0.9982911,0.0017089726,0.5992309949999872
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1,1.0,1,1,HIGH,1,1,0.9981736,0.0018264455,0.59917812
